"","title","author","subject","abstract","date"
"72","fm3q: factorized multi-agent minimax q-learning for two-team zero-sum markov game","guangzheng hu, yuanheng zhu, haoran li, dongbin zhao","artificial intelligence","many real-world applications involve some agents that fall into two teams, with payoffs that are equal within the same team but of opposite sign across the opponent team. the so-called two-team zero-sum markov games (2t0smgs) can be resolved with reinforcement learning in recent years. however, existing methods are thus inefficient in light of insufficient consideration of intra-team credit assignment, data utilization and computational intractability. in this paper, we propose the individual-global-minimax (igmm) principle to ensure the coherence between two-team minimax behaviors and the individual greedy behaviors through q functions in 2t0smgs. based on it, we present a novel multi-agent reinforcement learning framework, factorized multi-agent minimax q-learning (fm3q), which can factorize the joint minimax q function into individual ones and iteratively solve for the igmm-satisfied minimax q functions for 2t0smgs. moreover, an online learning algorithm with neural networks is proposed to implement fm3q and obtain the deterministic and decentralized minimax policies for two-team players. a theoretical analysis is provided to prove the convergence of fm3q. empirically, we use three environments to evaluate the learning efficiency and final performance of fm3q and show its superiority on 2t0smgs.",2024-02-01
"73","on tractability, complexity, and mixed-integer convex programming representability of distributionally favorable optimization","nan jiang, weijun xie","optimization and control","distributionally favorable optimization (dfo) is an important framework for decision-making under uncertainty, with applications across fields such as reinforcement learning, online learning, robust statistics, chance-constrained programming, and two-stage stochastic optimization without relatively complete recourse. in contrast to the traditional distributionally robust optimization (dro) paradigm, dfo presents a unique challenge -- the application of the inner infimum operator often fails to retain the convexity. in light of this challenge, we study the tractability and complexity of dfo. we establish sufficient and necessary conditions for determining when dfo problems are tractable or intractable. despite the typical nonconvex nature of dfo problems, our findings show that they are mixed-integer convex programming representable (micp-r), thereby enabling solutions via standard optimization solvers. finally, we numerically validate the efficacy of our micp-r formulations.",2024-01-31
"74","actdroid: an active learning framework for android malware detection","ali muzaffar, hani ragab hassen, hind zantout, michael a lones","cryptography and security","the growing popularity of android requires malware detection systems that can keep up with the pace of new software being released. according to a recent study, a new piece of malware appears online every 12 seconds. to address this, we treat android malware detection as a streaming data problem and explore the use of active online learning as a means of mitigating the problem of labelling applications in a timely and cost-effective manner. our resulting framework achieves accuracies of up to 96\%, requires as little of 24\% of the training data to be labelled, and compensates for concept drift that occurs between the release and labelling of an application. we also consider the broader practicalities of online learning within android malware detection, and systematically explore the trade-offs between using different static, dynamic and hybrid feature sets to classify malware.",2024-01-30
"75","edgeol: efficient in-situ online learning on edge devices","sheng li, geng yuan, yawen wu, yue dai, chao wu, alex k. jones, jingtong hu, yanzhi wang, xulong tang","machine learning","emerging applications, such as robot-assisted eldercare and object recognition, generally employ deep learning neural networks (dnns) models and naturally require: i) handling streaming-in inference requests and ii) adapting to possible deployment scenario changes. online model fine-tuning is widely adopted to satisfy these needs. however, fine-tuning involves significant energy consumption, making it challenging to deploy on edge devices. in this paper, we propose edgeol, an edge online learning framework that optimizes inference accuracy, fine-tuning execution time, and energy efficiency through both inter-tuning and intra-tuning optimizations. experimental results show that, on average, edgeol reduces overall fine-tuning execution time by 82%, energy consumption by 74%, and improves average inference accuracy by 1.70% over the immediate online learning strategy.",2024-01-30
"76","autoie: an automated framework for information extraction from scientific literature","yangyang liu, shoubin li","information retrieval","in the rapidly evolving field of scientific research, efficiently extracting key information from the burgeoning volume of scientific papers remains a formidable challenge. this paper introduces an innovative framework designed to automate the extraction of vital data from scientific pdf documents, enabling researchers to discern future research trajectories more readily. autoie uniquely integrates four novel components: (1) a multi-semantic feature fusion-based approach for pdf document layout analysis; (2) advanced functional block recognition in scientific texts; (3) a synergistic technique for extracting and correlating information on molecular sieve synthesis; (4) an online learning paradigm tailored for molecular sieve literature. our sbert model achieves high marco f1 scores of 87.19 and 89.65 on conll04 and ade datasets. in addition, a practical application of autoie in the petrochemical molecular sieve synthesis domain demonstrates its efficacy, evidenced by an impressive 78\% accuracy rate. this research paves the way for enhanced data management and interpretation in molecular sieve synthesis. it is a valuable asset for seasoned experts and newcomers in this specialized field.",2024-01-30
"77","a comparison of rl-based and pid controllers for 6-dof swimming robots: hybrid underwater object tracking","faraz lotfi, khalil virji, nicholas dudek, gregory dudek","robotics","in this paper, we present an exploration and assessment of employing a centralized deep q-network (dqn) controller as a substitute for the prevalent use of pid controllers in the context of 6dof swimming robots. our primary focus centers on illustrating this transition with the specific case of underwater object tracking. dqn offers advantages such as data efficiency and off-policy learning, while remaining simpler to implement than other reinforcement learning methods. given the absence of a dynamic model for our robot, we propose an rl agent to control this multi-input-multi-output (mimo) system, where a centralized controller may offer more robust control than distinct pids. our approach involves initially using classical controllers for safe exploration, then gradually shifting to dqn to take full control of the robot.
we divide the underwater tracking task into vision and control modules. we use established methods for vision-based tracking and introduce a centralized dqn controller. by transmitting bounding box data from the vision module to the control module, we enable adaptation to various objects and effortless vision system replacement. furthermore, dealing with low-dimensional data facilitates cost-effective online learning for the controller. our experiments, conducted within a unity-based simulator, validate the effectiveness of a centralized rl agent over separated pid controllers, showcasing the applicability of our framework for training the underwater rl agent and improved performance compared to traditional control methods. the code for both real and simulation implementations is at this https url.",2024-01-29
"78","strategic usage in a multi-learner setting","eliot shekhtman, sarah dean","machine learning","real-world systems often involve some pool of users choosing between a set of services. with the increase in popularity of online learning algorithms, these services can now self-optimize, leveraging data collected on users to maximize some reward such as service quality. on the flipside, users may strategically choose which services to use in order to pursue their own reward functions, in the process wielding power over which services can see and use their data. extensive prior research has been conducted on the effects of strategic users in single-service settings, with strategic behavior manifesting in the manipulation of observable features to achieve a desired classification; however, this can often be costly or unattainable for users and fails to capture the full behavior of multi-service dynamic systems. as such, we analyze a setting in which strategic users choose among several available services in order to pursue positive classifications, while services seek to minimize loss functions on their observations. we focus our analysis on realizable settings, and show that naive retraining can still lead to oscillation even if all users are observed at different times; however, if this retraining uses memory of past observations, convergent behavior can be guaranteed for certain loss function classes. we provide results obtained from synthetic and real-world data to empirically validate our theoretical findings.",2024-01-29
"79","oracle-efficient hybrid online learning with unknown distribution","changlong wu, jin sima, wojciech szpankowski","machine learning","we study the problem of oracle-efficient hybrid online learning when the features are generated by an unknown i.i.d. process and the labels are generated adversarially. assuming access to an (offline) erm oracle, we show that there exists a computationally efficient online predictor that achieves a regret upper bounded by $\tilde{o}(t^{\frac{3}{4}})$ for a finite-vc class, and upper bounded by $\tilde{o}(t^{\frac{p+1}{p+2}})$ for a class with $\alpha$ fat-shattering dimension $\alpha^{-p}$. this provides the first known oracle-efficient sublinear regret bounds for hybrid online learning with an unknown feature generation process. in particular, it confirms a conjecture of lazaric and munos (jcss 2012). we then extend our result to the scenario of shifting distributions with $k$ changes, yielding a regret of order $\tilde{o}(t^{\frac{4}{5}}k^{\frac{1}{5}})$. finally, we establish a regret of $\tilde{o}((k^{\frac{2}{3}}(\log|\mathcal{h}|)^{\frac{1}{3}}+k)\cdot t^{\frac{4}{5}})$ for the contextual $k$-armed bandits with a finite policy set $\mathcal{h}$, i.i.d. generated contexts from an unknown distribution, and adversarially generated costs.",2024-01-27
"80","learning online belief prediction for efficient pomdp planning in autonomous driving","zhiyu huang, chen tang, chen lv, masayoshi tomizuka, wei zhan","robotics","effective decision-making in autonomous driving relies on accurate inference of other traffic agents' future behaviors. to achieve this, we propose an online learning-based behavior prediction model and an efficient planner for partially observable markov decision processes (pomdps). we develop a learning-based prediction model, enhanced with a recurrent neural memory network, to dynamically update latent belief states and infer the intentions of other agents. the model can also integrate the ego vehicle's intentions to reflect closed-loop interactions among agents, and it learns from both offline data and online interactions. for planning, we employ an option-based monte-carlo tree search (mcts) planner, which reduces computational complexity by searching over action sequences. inside the mcts planner, we use predicted long-term multi-modal trajectories to approximate future updates, which eliminates iterative belief updating and improves the running efficiency. our approach also incorporates deep q-learning (dqn) as a search prior, which significantly improves the performance of the mcts planner. experimental results from simulated environments validate the effectiveness of our proposed method. the online belief update model can significantly enhance the accuracy and temporal consistency of predictions, leading to improved decision-making performance. employing dqn as a search prior in the mcts planner considerably boosts its performance and outperforms an imitation learning-based prior. additionally, we show that the option-based mcts substantially outperforms the vanilla method in terms of performance and efficiency.",2024-01-27
"81","careforme: contextual multi-armed bandit recommendation framework for mental health","sheng yu, narjes nourzad, randye j. semple, yixue zhao, emily zhou, bhaskar krishnamachari","artificial intelligence","the covid-19 pandemic has intensified the urgency for effective and accessible mental health interventions in people's daily lives. mobile health (mhealth) solutions, such as ai chatbots and mindfulness apps, have gained traction as they expand beyond traditional clinical settings to support daily life. however, the effectiveness of current mhealth solutions is impeded by the lack of context-awareness, personalization, and modularity to foster their reusability. this paper introduces careforme, a contextual multi-armed bandit (cmab) recommendation framework for mental health. designed with context-awareness, personalization, and modularity at its core, careforme harnesses mobile sensing and integrates online learning algorithms with user clustering capability to deliver timely, personalized recommendations. with its modular design, careforme serves as both a customizable recommendation framework to guide future research, and a collaborative platform to facilitate interdisciplinary contributions in mhealth research. we showcase careforme's versatility through its implementation across various platforms (e.g., discord, telegram) and its customization to diverse recommendation features.",2024-01-26
"82","adaptive mobile manipulation for articulated objects in the open world","haoyu xiong, russell mendonca, kenneth shaw, deepak pathak","robotics","deploying robots in open-ended unstructured environments such as homes has been a long-standing research problem. however, robots are often studied only in closed-off lab settings, and prior mobile manipulation work is restricted to pick-move-place, which is arguably just the tip of the iceberg in this area. in this paper, we introduce open-world mobile manipulation system, a full-stack approach to tackle realistic articulated object operation, e.g. real-world doors, cabinets, drawers, and refrigerators in open-ended unstructured environments. the robot utilizes an adaptive learning framework to initially learns from a small set of data through behavior cloning, followed by learning from online practice on novel objects that fall outside the training distribution. we also develop a low-cost mobile manipulation hardware platform capable of safe and autonomous online adaptation in unstructured environments with a cost of around 20,000 usd. in our experiments we utilize 20 articulate objects across 4 buildings in the cmu campus. with less than an hour of online learning for each object, the system is able to increase success rate from 50% of bc pre-training to 95% using online adaptation. video results at this https url",2024-01-25
"83","how to forget clients in federated online learning to rank?","shuyi wang, bing liu, guido zuccon","cryptography and security","data protection legislation like the european union's general data protection regulation (gdpr) establishes the \textit{right to be forgotten}: a user (client) can request contributions made using their data to be removed from learned models. in this paper, we study how to remove the contributions made by a client participating in a federated online learning to rank (foltr) system. in a foltr system, a ranker is learned by aggregating local updates to the global ranking model. local updates are learned in an online manner at a client-level using queries and implicit interactions that have occurred within that specific client. by doing so, each client's local data is not shared with other clients or with a centralised search service, while at the same time clients can benefit from an effective global ranking model learned from contributions of each client in the federation.
in this paper, we study an effective and efficient unlearning method that can remove a client's contribution without compromising the overall ranker effectiveness and without needing to retrain the global ranker from scratch. a key challenge is how to measure whether the model has unlearned the contributions from the client $c^*$ that has requested removal. for this, we instruct $c^*$ to perform a poisoning attack (add noise to this client updates) and then we measure whether the impact of the attack is lessened when the unlearning process has taken place. through experiments on four datasets, we demonstrate the effectiveness and efficiency of the unlearning strategy under different combinations of parameter settings.",2024-01-24
"84","locality sensitive sparse encoding for learning world models online","zichen liu, chao du, wee sun lee, min lin","machine learning","acquiring an accurate world model online for model-based reinforcement learning (mbrl) is challenging due to data nonstationarity, which typically causes catastrophic forgetting for neural networks (nns). from the online learning perspective, a follow-the-leader (ftl) world model is desirable, which optimally fits all previous experiences at each round. unfortunately, nn-based models need re-training on all accumulated data at every interaction step to achieve ftl, which is computationally expensive for lifelong agents. in this paper, we revisit models that can achieve ftl with incremental updates. specifically, our world model is a linear regression model supported by nonlinear random features. the linear part ensures efficient ftl update while the nonlinear random feature empowers the fitting of complex environments. to best trade off model capacity and computation efficiency, we introduce a locality sensitive sparse encoding, which allows us to conduct efficient sparse updates even with very high dimensional nonlinear features. we validate the representation power of our encoding and verify that it allows efficient online learning under data covariate shift. we also show, in the dyna mbrl setting, that our world models learned online using a single pass of trajectory data either surpass or match the performance of deep world models trained with replay and other continual learning methods.",2024-01-23
"85","examining the role of peer acknowledgements on social annotations: unraveling the psychological underpinnings","xiaoshan huang, haolun wu, xue liu, susanne lajoie","human-computer interaction","this study explores the impact of peer acknowledgement on learner engagement and implicit psychological attributes in written annotations on an online social reading platform. participants included 91 undergraduates from a large north american university. using log file data, we analyzed the relationship between learners' received peer acknowledgement and their subsequent annotation behaviours using cross-lag regression. higher peer acknowledgements correlate with increased initiation of annotations and responses to peer annotations. by applying text mining techniques and calculating shapley values to analyze 1,969 social annotation entries, we identified prominent psychological themes within three dimensions (i.e., affect, cognition, and motivation) that foster peer acknowledgment in digital social annotation. these themes include positive affect, openness to learning and discussion, and expression of motivation. the findings assist educators in improving online learning communities and provide guidance to technology developers in designing effective prompts, drawing from both implicit psychological cues and explicit learning behaviours.",2024-01-23
"86","modeling resilience of collaborative ai systems","diaeddin rimawi, antonio liotta, marco todescato, barbara russo","software engineering","a collaborative artificial intelligence system (cais) performs actions in collaboration with the human to achieve a common goal. caiss can use a trained ai model to control human-system interaction, or they can use human interaction to dynamically learn from humans in an online fashion. in online learning with human feedback, the ai model evolves by monitoring human interaction through the system sensors in the learning state, and actuates the autonomous components of the cais based on the learning in the operational state. therefore, any disruptive event affecting these sensors may affect the ai model's ability to make accurate decisions and degrade the cais performance. consequently, it is of paramount importance for cais managers to be able to automatically track the system performance to understand the resilience of the cais upon such disruptive events. in this paper, we provide a new framework to model cais performance when the system experiences a disruptive event. with our framework, we introduce a model of performance evolution of cais. the model is equipped with a set of measures that aim to support cais managers in the decision process to achieve the required resilience of the system. we tested our framework on a real-world case study of a robot collaborating online with the human, when the system is experiencing a disruptive event. the case study shows that our framework can be adopted in cais and integrated into the online execution of the cais activities.",2024-01-23
"87","conceptthread: visualizing threaded concepts in mooc videos","zhiguang zhou, li ye, lihong cai, lei wang, yigang wang, yongheng wang, wei chen, yong wang","human-computer interaction","massive open online courses (moocs) platforms are becoming increasingly popular in recent years. online learners need to watch the whole course video on mooc platforms to learn the underlying new knowledge, which is often tedious and time-consuming due to the lack of a quick overview of the covered knowledge and their structures. in this paper, we propose conceptthread, a visual analytics approach to effectively show the concepts and the relations among them to facilitate effective online learning. specifically, given that the majority of mooc videos contain slides, we first leverage video processing and speech analysis techniques, including shot recognition, speech recognition and topic modeling, to extract core knowledge concepts and construct the hierarchical and temporal relations among them. then, by using a metaphor of thread, we present a novel visualization to intuitively display the concepts based on video sequential flow, and enable learners to perform interactive visual exploration of concepts. we conducted a quantitative study, two case studies, and a user study to extensively evaluate conceptthread. the results demonstrate the effectiveness and usability of conceptthread in providing online learners with a quick understanding of the knowledge content of mooc videos.",2024-01-20
"88","polynomial convergence of bandit no-regret dynamics in congestion games","leello dadi, ioannis panageas, stratis skoulakis, luca viano, volkan cevher","computer science and game theory","we introduce an online learning algorithm in the bandit feedback model that, once adopted by all agents of a congestion game, results in game-dynamics that converge to an $\epsilon$-approximate nash equilibrium in a polynomial number of rounds with respect to $1/\epsilon$, the number of players and the number of available resources. the proposed algorithm also guarantees sublinear regret to any agent adopting it. as a result, our work answers an open question from arxiv:2206.01880 and extends the recent results of arxiv:2306.15543 to the bandit feedback model. we additionally establish that our online learning algorithm can be implemented in polynomial time for the important special case of network congestion games on directed acyclic graphs (dag) by constructing an exact $1$-barycentric spanner for dags.",2024-01-17
"89","dk-slam: monocular visual slam with deep keypoints adaptive learning, tracking and loop-closing","hao qu, lilian zhang, jun mao, junbo tie, xiaofeng he, xiaoping hu, yifei shi, changhao chen","robotics","unreliable feature extraction and matching in handcrafted features undermine the performance of visual slam in complex real-world scenarios. while learned local features, leveraging cnns, demonstrate proficiency in capturing high-level information and excel in matching benchmarks, they encounter challenges in continuous motion scenes, resulting in poor generalization and impacting loop detection accuracy. to address these issues, we present dk-slam, a monocular visual slam system with adaptive deep local features. maml optimizes the training of these features, and we introduce a coarse-to-fine feature tracking approach. initially, a direct method approximates the relative pose between consecutive frames, followed by a feature matching method for refined pose estimation. to counter cumulative positioning errors, a novel online learning binary feature-based online loop closure module identifies loop nodes within a sequence. experimental results underscore dk-slam's efficacy, outperforms representative slam solutions, such as orb-slam3 on publicly available datasets.",2024-01-17
"90","shabari: delayed decision-making for faster and efficient serverless functions","prasoon sinha, kostis kaffes, neeraja j. yadwadkar","distributed, parallel, and cluster computing","serverless computing relieves developers from the burden of resource management, thus providing ease-of-use to the users and the opportunity to optimize resource utilization for the providers. however, today's serverless systems lack performance guarantees for function invocations, thus limiting support for performance-critical applications: we observed severe performance variability (up to 6x). providers lack visibility into user functions and hence find it challenging to right-size them: we observed heavy resource underutilization (up to 80%). to understand the causes behind the performance variability and underutilization, we conducted a measurement study of commonly deployed serverless functions and learned that the function performance and resource utilization depend crucially on function semantics and inputs. our key insight is to delay making resource allocation decisions until after the function inputs are available. we introduce shabari, a resource management framework for serverless systems that makes decisions as late as possible to right-size each invocation to meet functions' performance objectives (slos) and improve resource utilization. shabari uses an online learning agent to right-size each function invocation based on the features of the function input and makes cold-start-aware scheduling decisions. for a range of serverless functions and inputs, shabari reduces slo violations by 11-73% while not wasting any vcpus and reducing wasted memory by 64-94% in the median case, compared to state-of-the-art systems, including aquatope, parrotfish, and cypress.",2024-01-16
"91","automated answer validation using text similarity","balaji ganesan, arjun ravikumar, lakshay piplani, rini bhaumik, dhivya padmanaban, shwetha narasimhamurthy, chetan adhikary, subhash deshapogu","computation and language","automated answer validation can help improve learning outcomes by providing appropriate feedback to learners, and by making question answering systems and online learning solutions more widely available. there have been some works in science question answering which show that information retrieval methods outperform neural methods, especially in the multiple choice version of this problem. we implement siamese neural network models and produce a generalised solution to this problem. we compare our supervised model with other text similarity based solutions.",2024-01-13
"92","online learning of piecewise polynomial signed distance fields for manipulation tasks","ante marić, yiming li, sylvain calinon","robotics","reasoning about distance is indispensable for establishing or avoiding contact in manipulation tasks. to this end, we present an online method for learning implicit representations of signed distance using piecewise polynomial basis functions. starting from an arbitrary prior shape, our approach incrementally constructs a continuous representation from incoming point cloud data. it offers fast access to distance and analytical gradients without the need to store training data. we assess the accuracy of our model on a diverse set of household objects and compare it to neural network and gaussian process counterparts. distance reconstruction and real-time updates are further evaluated in a physical experiment by simultaneously collecting sparse point cloud data and using the evolving model to control a manipulator.",2024-01-15
"93","bp(λ): online learning via synthetic gradients","joseph pemberton, rui ponte costa","machine learning","training recurrent neural networks typically relies on backpropagation through time (bptt). bptt depends on forward and backward passes to be completed, rendering the network locked to these computations before loss gradients are available. recently, jaderberg et al. proposed synthetic gradients to alleviate the need for full bptt. in their implementation synthetic gradients are learned through a mixture of backpropagated gradients and bootstrapped synthetic gradients, analogous to the temporal difference (td) algorithm in reinforcement learning (rl). however, as in td learning, heavy use of bootstrapping can result in bias which leads to poor synthetic gradient estimates. inspired by the accumulate $\mathrm{td}(\lambda)$ in rl, we propose a fully online method for learning synthetic gradients which avoids the use of bptt altogether: accumulate $bp(\lambda)$. as in accumulate $\mathrm{td}(\lambda)$, we show analytically that accumulate $\mathrm{bp}(\lambda)$ can control the level of bias by using a mixture of temporal difference errors and recursively defined eligibility traces. we next demonstrate empirically that our model outperforms the original implementation for learning synthetic gradients in a variety of tasks, and is particularly suited for capturing longer timescales. finally, building on recent work we reflect on accumulate $\mathrm{bp}(\lambda)$ as a principle for learning in biological circuits. in summary, inspired by rl principles we introduce an algorithm capable of bias-free online learning via synthetic gradients.",2024-01-13
"94","bounds on the price of feedback for mistake-bounded online learning","jesse geneson, linus tang","machine learning","we improve several worst-case bounds for various online learning scenarios from (auer and long, machine learning, 1999). in particular, we sharpen an upper bound for delayed ambiguous reinforcement learning by a factor of 2 and an upper bound for learning compositions of families of functions by a factor of 2.41. we also improve a lower bound from the same paper for learning compositions of $k$ families of functions by a factor of $\theta(\ln{k})$, matching the upper bound up to a constant factor. in addition, we solve a problem from (long, theoretical computer science, 2020) on the price of bandit feedback with respect to standard feedback for multiclass learning, and we improve an upper bound from (feng et al., theoretical computer science, 2023) on the price of $r$-input delayed ambiguous reinforcement learning by a factor of $r$, matching a lower bound from the same paper up to the leading term.",2024-01-11
"95","exploration of adolescent depression risk prediction based on census surveys and general life issues","qiang li, yufeng wu, zhan xu, hefeng zhou","machine learning","in contemporary society, the escalating pressures of life and work have propelled psychological disorders to the forefront of modern health concerns, an issue that has been further accentuated by the covid-19 pandemic. the prevalence of depression among adolescents is steadily increasing, and traditional diagnostic methods, which rely on scales or interviews, prove particularly inadequate for detecting depression in young people. addressing these challenges, numerous ai-based methods for assisting in the diagnosis of mental health issues have emerged. however, most of these methods center around fundamental issues with scales or use multimodal approaches like facial expression recognition. diagnosis of depression risk based on everyday habits and behaviors has been limited to small-scale qualitative studies. our research leverages adolescent census data to predict depression risk, focusing on children's experiences with depression and their daily life situations. we introduced a method for managing severely imbalanced high-dimensional data and an adaptive predictive approach tailored to data structure characteristics. furthermore, we proposed a cloud-based architecture for automatic online learning and data updates. this study utilized publicly available nsch youth census data from 2020 to 2022, encompassing nearly 150,000 data entries. we conducted basic data analyses and predictive experiments, demonstrating significant performance improvements over standard machine learning and deep learning algorithms. this affirmed our data processing method's broad applicability in handling imbalanced medical data. diverging from typical predictive method research, our study presents a comprehensive architectural solution, considering a wider array of user needs.",2024-01-06
"96","planarnerf: online learning of planar primitives with neural radiance fields","zheng chen, qingan yan, huangying zhan, changjiang cai, xiangyu xu, yuzhong huang, weihan wang, ziyue feng, lantao liu, yi xu","computer vision and pattern recognition","identifying spatially complete planar primitives from visual data is a crucial task in computer vision. prior methods are largely restricted to either 2d segment recovery or simplifying 3d structures, even with extensive plane annotations. we present planarnerf, a novel framework capable of detecting dense 3d planes through online learning. drawing upon the neural field representation, planarnerf brings three major contributions. first, it enhances 3d plane detection with concurrent appearance and geometry knowledge. second, a lightweight plane fitting module is proposed to estimate plane parameters. third, a novel global memory bank structure with an update mechanism is introduced, ensuring consistent cross-frame correspondence. the flexible architecture of planarnerf allows it to function in both 2d-supervised and self-supervised solutions, in each of which it can effectively learn from sparse training signals, significantly improving training efficiency. through extensive experiments, we demonstrate the effectiveness of planarnerf in various scenarios and remarkable improvement over existing works.",2023-12-30
"97","multimodal classification of teaching activities from university lecture recordings","oscar sapena, eva onaindia","computation and language","the way of understanding online higher education has greatly changed due to the worldwide pandemic situation. teaching is undertaken remotely, and the faculty incorporate lecture audio recordings as part of the teaching material. this new online teaching-learning setting has largely impacted university classes. while online teaching technology that enriches virtual classrooms has been abundant over the past two years, the same has not occurred in supporting students during online learning. {to overcome this limitation, our aim is to work toward enabling students to easily access the piece of the lesson recording in which the teacher explains a theoretical concept, solves an exercise, or comments on organizational issues of the course. to that end, we present a multimodal classification algorithm that identifies the type of activity that is being carried out at any time of the lesson by using a transformer-based language model that exploits features from the audio file and from the automated lecture transcription. the experimental results will show that some academic activities are more easily identifiable with the audio signal while resorting to the text transcription is needed to identify others. all in all, our contribution aims to recognize the academic activities of a teacher during a lesson.",2023-12-24
"98","adaptive anytime multi-agent path finding using bandit-based large neighborhood search","thomy phan, taoan huang, bistra dilkina, sven koenig","artificial intelligence","anytime multi-agent path finding (mapf) is a promising approach to scalable path optimization in large-scale multi-agent systems. state-of-the-art anytime mapf is based on large neighborhood search (lns), where a fast initial solution is iteratively optimized by destroying and repairing a fixed number of parts, i.e., the neighborhood, of the solution, using randomized destroy heuristics and prioritized planning. despite their recent success in various mapf instances, current lns-based approaches lack exploration and flexibility due to greedy optimization with a fixed neighborhood size which can lead to low quality solutions in general. so far, these limitations have been addressed with extensive prior effort in tuning or offline machine learning beyond actual planning. in this paper, we focus on online learning in lns and propose bandit-based adaptive large neighborhood search combined with exploration (balance). balance uses a bi-level multi-armed bandit scheme to adapt the selection of destroy heuristics and neighborhood sizes on the fly during search. we evaluate balance on multiple maps from the mapf benchmark set and empirically demonstrate cost improvements of at least 50% compared to state-of-the-art anytime mapf in large-scale scenarios. we find that thompson sampling performs particularly well compared to alternative multi-armed bandit algorithms.",2023-12-28
"99","keeping teams in the game: predicting dropouts in online problem-based learning competition","aditya panwar, ashwin t s, ramkumar rajendran, kavi arya","machine learning","online learning and moocs have become increasingly popular in recent years, and the trend will continue, given the technology boom. there is a dire need to observe learners' behavior in these online courses, similar to what instructors do in a face-to-face classroom. learners' strategies and activities become crucial to understanding their behavior. one major challenge in online courses is predicting and preventing dropout behavior. while several studies have tried to perform such analysis, there is still a shortage of studies that employ different data streams to understand and predict the drop rates. moreover, studies rarely use a fully online team-based collaborative environment as their context. thus, the current study employs an online longitudinal problem-based learning (pbl) collaborative robotics competition as the testbed. through methodological triangulation, the study aims to predict dropout behavior via the contributions of discourse discussion forum 'activities' of participating teams, along with a self-reported online learning strategies questionnaire (oslq). the study also uses qualitative interviews to enhance the ground truth and results. the oslq data is collected from more than 4000 participants. furthermore, the study seeks to establish the reliability of oslq to advance research within online environments. various machine learning algorithms are applied to analyze the data. the findings demonstrate the reliability of oslq with our substantial sample size and reveal promising results for predicting the dropout rate in online competition.",2023-12-27
"100","incentive-aware synthetic control: accurate counterfactual estimation via incentivized exploration","daniel ngo, keegan harris, anish agarwal, vasilis syrgkanis, zhiwei steven wu","econometrics","we consider the setting of synthetic control methods (scms), a canonical approach used to estimate the treatment effect on the treated in a panel data setting. we shed light on a frequently overlooked but ubiquitous assumption made in scms of ""overlap"": a treated unit can be written as some combination -- typically, convex or linear combination -- of the units that remain under control. we show that if units select their own interventions, and there is sufficiently large heterogeneity between units that prefer different interventions, overlap will not hold. we address this issue by proposing a framework which incentivizes units with different preferences to take interventions they would not normally consider. specifically, leveraging tools from information design and online learning, we propose a scm that incentivizes exploration in panel data settings by providing incentive-compatible intervention recommendations to units. we establish this estimator obtains valid counterfactual estimates without the need for an a priori overlap assumption. we extend our results to the setting of synthetic interventions, where the goal is to produce counterfactual outcomes under all interventions, not just control. finally, we provide two hypothesis tests for determining whether unit overlap holds for a given panel dataset.",2023-12-26
"101","agent based modelling for continuously varying supply chains","wan wang, haiyan wang, adam j.sobey","systems and control","problem definition: supply chains are constantly evolving networks. reinforcement learning is increasingly proposed as a solution to provide optimal control of these networks. academic/practical: however, learning in continuously varying environments remains a challenge in the reinforcement learning literature.methodology: this paper therefore seeks to address whether agents can control varying supply chain problems, transferring learning between environments that require different strategies and avoiding catastrophic forgetting of tasks that have not been seen in a while. to evaluate this approach, two state-of-the-art reinforcement learning (rl) algorithms are compared: an actor-critic learner, proximal policy optimisation(ppo), and a recurrent proximal policy optimisation (rppo), ppo with a long short-term memory(lstm) layer, which is showing popularity in online learning environments. results: first these methods are compared on six sets of environments with varying degrees of stochasticity. the results show that more lean strategies adopted in batch environments are different from those adopted in stochastic environments with varying products. the methods are also compared on various continuous supply chain scenarios, where the ppo agents are shown to be able to adapt through continuous learning when the tasks are similar but show more volatile performance when changing between the extreme tasks. however, the rppo, with an ability to remember histories, is able to overcome this to some extent and takes on a more realistic strategy. managerial implications: our results provide a new perspective on the continuously varying supply chain, the cooperation and coordination of agents are crucial for improving the overall performance in uncertain and semi-continuous non-stationary supply chain environments without the need to retrain the environment as the demand changes.",2023-12-24
"102","semi-bandit learning for monotone stochastic optimization","arpit agarwal, rohan ghuge, viswanath nagarajan","machine learning","stochastic optimization is a widely used approach for optimization under uncertainty, where uncertain input parameters are modeled by random variables. exact or approximation algorithms have been obtained for several fundamental problems in this area. however, a significant limitation of this approach is that it requires full knowledge of the underlying probability distributions. can we still get good (approximation) algorithms if these distributions are unknown, and the algorithm needs to learn them through repeated interactions? in this paper, we resolve this question for a large class of ""monotone"" stochastic problems, by providing a generic online learning algorithm with $\sqrt{t \log t}$ regret relative to the best approximation algorithm (under known distributions). importantly, our online algorithm works in a semi-bandit setting, where in each period, the algorithm only observes samples from the r.v.s that were actually probed. our framework applies to several fundamental problems in stochastic optimization such as prophet inequality, pandora's box, stochastic knapsack, stochastic matchings and stochastic submodular optimization.",2023-12-24
